Sample_ID	Density	Sample	QF_xe6mol/m2/s	Photo_xe6mol/m2/s
D9x9_QF2000_S1	9x9	1	1998.825684	16.97110124
D9x9_QF1800_S1	9x9	1	1799.984863	15.98395518
D9x9_QF1600_S1	9x9	1	1600.67041	14.97066365
D9x9_QF1400_S1	9x9	1	1400.155151	14.45133112
D9x9_QF1200_S1	9x9	1	1200.209473	13.47842241
D9x9_QF1000a_S1	9x9	1	1000.533203	12.26549754
D9x9_QF1000b_S1	9x9	1	999.4939575	13.98474118
D9x9_QF800_S1	9x9	1	798.6616821	11.07359122
D9x9_QF600_S1	9x9	1	598.9310303	9.639297987
D9x9_QF400_S1	9x9	1	399.9351807	8.94115882
D9x9_QF200_S1	9x9	1	199.875473	5.533395088
D9x9_QF100_S1	9x9	1	99.35690308	3.720443621
D9x9_QF50_S1	9x9	1	50.70437241	1.618292597
D9x9_QF25_S1	9x9	1	25.20137787	0.512510578
D9x9_QF0_S1	9x9	1	0.680900514	-0.463171695
D9x9_QF2000_S2	9x9	2	1999.249512	17.681277
D9x9_QF1800_S2	9x9	2	1800.906616	17.48617269
D9x9_QF1600_S2	9x9	2	1600.522705	17.08398209
D9x9_QF1400_S2	9x9	2	1399.039673	16.57166064
D9x9_QF1200_S2	9x9	2	1200.169556	16.00362606
D9x9_QF1000a_S2	9x9	2	999.6495361	15.47112143
D9x9_QF1000b_S2	9x9	2	999.2360229	15.48555271
D9x9_QF800_S2	9x9	2	800.3786621	14.43252612
D9x9_QF600_S2	9x9	2	599.7580566	13.16582992
D9x9_QF400_S2	9x9	2	401.0567017	11.10390398
D9x9_QF200_S2	9x9	2	200.5266876	7.297427662
D9x9_QF100_S2	9x9	2	101.3418808	4.136912382
D9x9_QF50_S2	9x9	2	51.28001785	2.023699158
D9x9_QF25_S2	9x9	2	24.77848625	0.78375001
D9x9_QF0_S2	9x9	2	0.611341774	-0.686499558
D9x9_QF2000_S3	9x9	3	1998.794922	14.40259544
D9x9_QF1800_S3	9x9	3	1800.077393	13.96143896
