Sample_ID	Leaf	Sample	QF_xe6mol/m2/s	Photo_xe6mol/m2/s
L1_QF2000_S1	1	1	1999.083618	10.07433522
L1_QF1800_S1	1	1	1800.723999	9.812052329
L1_QF1600_S1	1	1	1600.601196	9.368321671
L1_QF1400_S1	1	1	1399.447021	9.086873386
L1_QF1200_S1	1	1	1198.551025	8.824160275
L1_QF1000_S1	1	1	1000.752502	8.384253567
L1_QF800_S1	1	1	800.0084229	7.905854418
L1_QF600_S1	1	1	599.3920288	7.352545124
L1_QF400_S1	1	1	400.5402832	6.704776624
L1_QF200_S1	1	1	200.0978699	4.692814193
L1_QF100_S1	1	1	99.89544678	2.682815298
L1_QF50_S1	1	1	48.92558289	0.842978956
L1_QF25_S1	1	1	24.22337723	-0.096036284
L1_QF0_S1	1	1	0.619335294	-1.703090939
L1_QF2000_S2	1	2	1998.91626	10.8332006
L1_QF1800_S2	1	2	1799.7345	10.5535018
L1_QF1600_S2	1	2	1600.20959	10.2118973
L1_QF1400_S2	1	2	1400.02441	9.39732254
L1_QF1200_S2	1	2	1199.56689	8.6644587
L1_QF1000_S2	1	2	1000.56677	8.32966429
L1_QF800_S2	1	2	800.161621	7.41912799
L1_QF600_S2	1	2	600.093018	6.61062922
L1_QF400_S2	1	2	399.050323	5.96444979
L1_QF200_S2	1	2	200.344284	4.5807728
L1_QF100_S2	1	2	100.241295	3.0878374
L1_QF50_S2	1	2	49.2345734	1.40351748
L1_QF25_S2	1	2	24.6039028	0.45586061
L1_QF0_S2	1	2	0.95247787	-0.9850529
L1_QF2000_S3	1	3	1999.893799	9.794578897
L1_QF1800_S3	1	3	1800.368652	9.451098326
L1_QF1600_S3	1	3	1599.639526	9.028259295
L1_QF1400_S3	1	3	1399.984863	8.533738782
L1_QF1200_S3	1	3	1200.045776	8.121909941
L1_QF1000_S3	1	3	1001.446228	7.598915921
L1_QF800_S3	1	3	799.4125977	6.891225322
L1_QF600_S3	1	3	599.5630493	6.161040301
L1_QF400_S3	1	3	399.5380859	5.218666866
L1_QF200_S3	1	3	199.5391235	3.561646676
L1_QF100_S3	1	3	99.08602142	2.16992188
L1_QF50_S3	1	3	49.52801132	0.890114083
L1_QF25_S3	1	3	26.05435562	-0.077230348
L1_QF0_S3	1	3	0.767251074	-1.738860662
L9_QF2000_S1	9	1	1998.842407	12.9218578
L9_QF1800_S1	9	1	1799.940186	12.73314893
L9_QF1600_S1	9	1	1600.600098	12.47427692
L9_QF1400_S1	9	1	1399.240601	12.17815468
L9_QF1200_S1	9	1	1199.431396	11.8781148
L9_QF1000_S1	9	1	1001.123474	11.31086255
L9_QF800_S1	9	1	800.4252319	10.6704103
L9_QF600_S1	9	1	600.0022583	9.772125329
L9_QF400_S1	9	1	399.6184692	8.648271441
L9_QF200_S1	9	1	201.0983124	6.408992549
L9_QF100_S1	9	1	100.7481232	3.943670644
L9_QF50_S1	9	1	48.8601532	1.990201766
L9_QF25_S1	9	1	25.01636314	0.633334288
L9_QF0_S1	9	1	0.479566425	-0.634416789
L9_QF2000_S2	9	2	1999.322998	11.80990149
L9_QF1800_S2	9	2	1800.349731	11.57068514
L9_QF1600_S2	9	2	1600.799072	11.13312033
L9_QF1400_S2	9	2	1399.303223	10.65221779
L9_QF1200_S2	9	2	1199.019043	10.24416184
L9_QF1000_S2	9	2	1000.854126	9.904428543
L9_QF800_S2	9	2	799.4619141	9.317171808
L9_QF600_S2	9	2	600.579895	8.467661975
L9_QF400_S2	9	2	399.4271851	7.410151153
L9_QF200_S2	9	2	199.8374786	5.065841982
L9_QF100_S2	9	2	101.1079788	3.299158069
L9_QF50_S2	9	2	50.00022888	1.63572359
L9_QF25_S2	9	2	26.44704437	0.576184287
L9_QF0_S2	9	2	1.31853807	-0.578372132
L9_QF2000_S3	9	3	1998.552246	11.85990563
L9_QF1800_S3	9	3	1799.516846	11.47429989
L9_QF1600_S3	9	3	1600.509033	10.92153281
L9_QF1400_S3	9	3	1400.541626	9.989424734
L9_QF1200_S3	9	3	1200.020874	9.443775987
L9_QF1000_S3	9	3	1001.075623	9.100264391
L9_QF800_S3	9	3	800.1278687	8.495932615
L9_QF600_S3	9	3	600.2905884	7.971248302
L9_QF400_S3	9	3	400.7745667	7.179628847
L9_QF200_S3	9	3	201.0135193	5.702712674
L9_QF100_S3	9	3	99.52318573	3.754975283
L9_QF50_S3	9	3	50.31833649	1.836762769
L9_QF25_S3	9	3	23.96735573	0.63276381
L9_QF0_S3	9	3	0.338222325	-1.183710457
L17_QF2000_S1	17	1	1998.825684	16.97110124
L17_QF1800_S1	17	1	1799.984863	15.98395518
L17_QF1600_S1	17	1	1600.67041	14.97066365
L17_QF1400_S1	17	1	1400.155151	14.45133112
L17_QF1200_S1	17	1	1200.209473	13.47842241
L17_QF1000_S1	17	1	1000.533203	12.26549754
L17_QF800_S1	17	1	798.6616821	11.07359122
L17_QF600_S1	17	1	598.9310303	9.639297987
L17_QF400_S1	17	1	399.9351807	8.94115882
L17_QF200_S1	17	1	199.875473	5.533395088
L17_QF100_S1	17	1	99.35690308	3.720443621
L17_QF50_S1	17	1	50.70437241	1.618292597
L17_QF25_S1	17	1	25.20137787	0.512510578
L17_QF0_S1	17	1	0.680900514	-0.463171695
L17_QF2000_S2	17	2	1999.249512	17.681277
L17_QF1800_S2	17	2	1800.906616	17.48617269
L17_QF1600_S2	17	2	1600.522705	17.08398209
L17_QF1400_S2	17	2	1399.039673	16.57166064
L17_QF1200_S2	17	2	1200.169556	16.00362606
L17_QF1000_S2	17	2	999.6495361	15.47112143
L17_QF800_S2	17	2	800.3786621	14.43252612
L17_QF600_S2	17	2	599.7580566	13.16582992
L17_QF400_S2	17	2	401.0567017	11.10390398
L17_QF200_S2	17	2	200.5266876	7.297427662
L17_QF100_S2	17	2	101.3418808	4.136912382
L17_QF50_S2	17	2	51.28001785	2.023699158
L17_QF25_S2	17	2	24.77848625	0.78375001
L17_QF0_S2	17	2	0.611341774	-0.686499558
L17_QF2000_S3	17	3	1998.794922	14.40259544
L17_QF1800_S3	17	3	1800.077393	13.96143896
L17_QF1600_S3	17	3	1598.230103	13.48631879
L17_QF1400_S3	17	3	1400.986938	12.27580732
L17_QF1200_S3	17	3	1200.168213	11.34937072
L17_QF1000_S3	17	3	1001.015625	10.31785516
L17_QF800_S3	17	3	800.1610718	9.586101282
L17_QF600_S3	17	3	599.1500244	8.479202179
L17_QF400_S3	17	3	400.4811401	7.454733869
L17_QF200_S3	17	3	199.6801758	5.336975296
L17_QF100_S3	17	3	100.0519028	3.19108679
L17_QF50_S3	17	3	48.80661011	1.993654816
L17_QF25_S3	17	3	25.90982437	1.096432337
L17_QF0_S3	17	3	0.811889291	-0.50200707
L33_QF2000_S1	33	1	1999.390259	10.21868498
L33_QF1800_S1	33	1	1800.540283	10.10888754
L33_QF1600_S1	33	1	1600.087036	10.16625532
L33_QF1400_S1	33	1	1398.585449	10.0066342
L33_QF1200_S1	33	1	1199.616455	9.945498405
L33_QF1000_S1	33	1	1000.487061	9.669408621
L33_QF800_S1	33	1	800.1362305	8.940092946
L33_QF600_S1	33	1	600.2875977	8.316855221
L33_QF400_S1	33	1	400.528656	7.259861611
L33_QF200_S1	33	1	200.7059174	5.47949811
L33_QF100_S1	33	1	101.4718704	3.28080835
L33_QF50_S1	33	1	49.87683487	1.856394231
L33_QF25_S1	33	1	26.04310608	0.986042529
L33_QF0_S1	33	1	0.749689698	-0.628444006
L33_QF2000_S2	33	2	1999.875244	8.271835537
L33_QF1800_S2	33	2	1800.126831	8.191629409
L33_QF1600_S2	33	2	1600.210205	8.001216102
L33_QF1400_S2	33	2	1398.884277	7.5978812
L33_QF1200_S2	33	2	1199.645142	7.127331625
L33_QF1000_S2	33	2	1000.381287	6.425224721
L33_QF800_S2	33	2	800.0608521	5.998511397
L33_QF600_S2	33	2	600.3131714	5.149429908
L33_QF400_S2	33	2	400.3866882	4.336838212
L33_QF200_S2	33	2	200.3246765	3.103398757
L33_QF100_S2	33	2	99.57693481	2.110612793
L33_QF50_S2	33	2	49.00553131	1.25016226
L33_QF25_S2	33	2	26.43240929	0.756701722
L33_QF0_S2	33	2	0.087127395	-0.155485396
L33_QF2000_S3	33	3	1999.802856	11.54319665
L33_QF1800_S3	33	3	1798.266479	11.34051737
L33_QF1600_S3	33	3	1599.252441	11.06271645
L33_QF1400_S3	33	3	1398.763062	10.66746749
L33_QF1200_S3	33	3	1199.626709	10.38327224
L33_QF1000_S3	33	3	999.8197021	10.08629768
L33_QF800_S3	33	3	800.4653931	9.473417267
L33_QF600_S3	33	3	599.2002563	8.807407167
L33_QF400_S3	33	3	399.6711426	7.678062167
L33_QF200_S3	33	3	199.9258881	5.319678094
L33_QF100_S3	33	3	100.4712601	3.29322835
L33_QF50_S3	33	3	49.3955574	1.708587921
L33_QF25_S3	33	3	25.17565727	0.886913872
L33_QF0_S3	33	3	0.219654739	-0.432286962
