Genotype	Year	FFB_Ha
Deli x La Mé	3	3.9
Deli x La Mé	4	12
Deli x La Mé	5	26.5
Deli x La Mé	6	28.6
Deli x La Mé	7	33.3
Deli x La Mé	8	34.7
Deli x La Mé	9	29.8
Deli x La Mé	10	34.7
Deli x La Mé	11	32.1
Deli x AVROS	3	5.4
Deli x AVROS	4	18.8
Deli x AVROS	5	31.3
Deli x AVROS	6	35.5
Deli x AVROS	7	38.4
Deli x AVROS	8	38.5
Deli x AVROS	9	32.6
Deli x AVROS	10	34.9
Deli x AVROS	11	43.8
Deli x Ghana	3	7.6
Deli x Ghana	4	17.3
Deli x Ghana	5	28.6
Deli x Ghana	6	32.4
Deli x Ghana	7	37.2
Deli x Ghana	8	43.6
Deli x Ghana	9	30.7
Deli x Ghana	10	34.3
Deli x Ghana	11	34.2
Deli x Nigeria	3	8.1
Deli x Nigeria	4	19.1
Deli x Nigeria	5	32.8
Deli x Nigeria	6	30.8
Deli x Nigeria	7	31.2
Deli x Nigeria	8	43.3
Deli x Nigeria	9	28.8
Deli x Nigeria	10	31.1
Deli x Nigeria	11	34.2
Deli x Yangambi	3	12.5
Deli x Yangambi	4	19
Deli x Yangambi	5	31.1
Deli x Yangambi	6	30.9
Deli x Yangambi	7	31.9
Deli x Yangambi	8	36.8
Deli x Yangambi	9	28.5
Deli x Yangambi	10	34.3
Deli x Yangambi	11	35.4
Deli x AVROS Dumpy	3	11.2
Deli x AVROS Dumpy	4	21.9
Deli x AVROS Dumpy	5	32.3
Deli x AVROS Dumpy	6	31.1
Deli x AVROS Dumpy	7	35.2
Deli x AVROS Dumpy	8	38.9
Deli x AVROS Dumpy	9	29.4
Deli x AVROS Dumpy	10	37.6
Deli x AVROS Dumpy	11	42.5
(Djongo x Ekona) x Yangambi 	3	2.2
(Djongo x Ekona) x Yangambi 	4	14.4
(Djongo x Ekona) x Yangambi 	5	27.7
(Djongo x Ekona) x Yangambi 	6	30.1
(Djongo x Ekona) x Yangambi 	7	31.8
(Djongo x Ekona) x Yangambi 	8	35.6
(Djongo x Ekona) x Yangambi 	9	31.6
(Djongo x Ekona) x Yangambi 	10	33.7
(Djongo x Ekona) x Yangambi 	11	33.3
