logFC	logCPM	PValue	FDR
chr1_AsnGTT_143879812_143879842_5tRNAr	-12.9949560933493	8.06090948023821	1.69948684652959e-35	1.47369787977637e-33
chr17_PseudoTTG_19506648_19506678_3tRNAr	12.5932253417721	14.1444007442207	1.56165004259619e-68	1.89584315171177e-65
chr15_LysCTT_79152966_79152996_3tRNAr	-12.4438558042593	7.54593969939081	1.53172296092538e-31	8.45232579347006e-30
chr14_ThrTGT_21081929_21081959_5tRNAr	-12.104760684176	7.19538595557865	3.69131088515001e-29	1.54525910847314e-27
chr1_AsnGTT_149326252_149326282_5tRNAr	-11.6020263964463	6.66402969939549	1.12448659583194e-25	3.59243875615784e-24
chr19_LysCTT_36066730_36066760_5tRNAr	11.4994751849004	6.75129312307499	3.51200600893265e-26	1.2181643699555e-24
chr5_AlaTGC_180633929_180633959_3tRNAr	-11.4667718125346	6.59727955951574	9.13906159409592e-25	2.52155017618919e-23
chr2_PseudoTTG_131029972_131030002_3tRNAr	11.4196107567788	6.92073657163088	1.22870838537011e-25	3.82474866625465e-24
chr11_PheGAA_59333833_59333863_5tRNAr	-11.417521974928	6.58844480170616	2.00068098574025e-24	5.16771641848652e-23
chr1_PseudoTGG_238105842_238105872_5tRNAr	11.2625249663196	7.42751128975799	1.3691428075455e-24	3.61334645295704e-23
chr1_AsnGTT_149711778_149711808_5tRNAr	-11.1293248279892	6.18718661738691	1.65181917748451e-22	3.35310951844543e-21
chr14_LysCTT_58706593_58706623_5tRNAr	-10.9128540460774	6.12026606607708	4.06784223606244e-21	7.05480067797114e-20
chrM_LeuTAA_3231_3305_total	10.7679198133728	11.0084405151351	1.26165291423234e-51	5.44878831354642e-49
chrM_LeuTAA_3211_3241_5tRNAr	10.7641392654913	10.9445214199916	1.3464880511235e-51	5.44878831354642e-49
chr6_ThrCGT_28615984_28616057_total	10.4754958920893	5.94014833809789	1.97351998814927e-19	2.64179792848351e-18
chr7_SerAGA_149305528_149305558_3tRNAr	-10.378152704849	5.42333028974032	9.34592708156691e-18	1.09095725740598e-16
chr17_ThrAGT_8042770_8042843_total	10.1439143636849	5.83070015363278	2.24245329007232e-17	2.56824367372434e-16
chr19_LysCTT_36066750_36066822_total	9.85607081862696	5.19575655974032	1.1189264594067e-15	1.11342354239323e-14
chr1_AsnGTT_161397930_161397960_3tRNAr	-9.45092183584896	5.17756627349752	1.594298291444e-12	1.16595067820061e-11
chr10_PseudoCTG_20036672_20036702_3tRNAr	9.32986481055026	7.78444916331308	9.33820700175077e-32	5.39837300005973e-30
