logFC	logCPM	PValue	FDR
chr8_AlaAGC_67026486_67026516_3tRNAr	-12.8024212577315	7.93692314815668	6.90863227496631e-33	4.19353979090455e-31
chr17_PseudoTTG_19506648_19506678_3tRNAr	12.7173213164007	14.1444007442207	7.03833108129421e-69	8.54453393269117e-66
chr6_AlaTGC_28784992_28785022_5tRNAr	-12.2690794045907	7.40690522376934	4.14528973247998e-29	1.73530404663127e-27
chr1_GlnCTG_145379300_145379330_5tRNAr	-11.7654351324963	6.89628033305836	1.05427438809538e-26	3.3681292293363e-25
chr1_GlnCTG_144839416_144839446_5tRNAr	-11.7627417979168	6.89358636709127	1.11258197154626e-26	3.46326798322349e-25
chr1_AsnGTT_149326252_149326282_5tRNAr	-11.5386203040414	6.66402969939549	3.77518924308838e-25	9.54808279397769e-24
chr16_ArgCCT_3202963_3202993_3tRNAr	-11.2617615730319	7.05247918410608	2.64839183435818e-23	4.94638105678589e-22
chr1_AsnGTT_149711778_149711808_5tRNAr	-11.0659268226724	6.18718661738691	5.12961566185709e-22	8.64910196318682e-21
chr12_AspGTC_96429860_96429890_3tRNAr	-10.7664101938673	16.2631265796612	9.62615343862656e-67	5.84307513724632e-64
chr1_PseudoTGG_238105842_238105872_5tRNAr	10.7568015521679	7.42751128975799	4.54000957862492e-21	7.15788523175409e-20
chr7_SerAGA_149305528_149305558_3tRNAr	-10.3147744740321	5.42333028974032	2.54147479536045e-17	2.63705162527144e-16
chr16_LeuTAG_22207012_22207042_5tRNAr	-10.14315133463	5.27638401171721	2.82639698603632e-16	2.68066089144382e-15
chrM_LeuTAA_3231_3305_total	10.1268493972496	11.0084405151351	2.85315668416438e-46	4.94818887796508e-44
chrM_LeuTAA_3211_3241_5tRNAr	9.98560620170195	10.9445214199916	3.17492969325913e-45	2.75311760544042e-43
chrM_LeuTAA_3295_3325_3tRNAr	9.90599457502625	5.43974445939559	7.99318985954519e-16	7.13509741874108e-15
chr12_AspGTC_98897342_98897372_3tRNAr	-9.79067469048528	12.0447195728311	6.99089119165231e-54	2.8289806355553e-51
chr8_PseudoTTG_32872707_32872737_3tRNAr	9.75763509735311	5.70131131884944	6.46117703118544e-15	5.16044007622311e-14
chr19_SeC(e)TCA_45981840_45981870_5tRNAr	-9.68936459383213	4.99606451930195	9.58400419406223e-14	6.7254225962957e-13
chr1_AsnGTT_143879812_143879842_5tRNAr	-9.4183705043032	8.06090948023821	7.31406961193518e-33	4.22822881375681e-31
chr17_ArgTCG_73031188_73031218_5tRNAr	9.29012498693425	4.76367350834679	1.9099963171885e-12	1.12559977139167e-11
