logFC	logCPM	PValue	FDR
chr1_AsnGTT_161510094_161510124_3tRNAr	-8.67867764888264	3.21023239336505	0.00227586772527323	0.0120126235586161
chr6_AlaTGC_28757527_28757557_5tRNAr	-8.58679156400941	3.09793254625002	0.00436854826243529	0.0193555386518118
chr19_SeC(e)TCA_45981840_45981870_5tRNAr	-7.96367366218245	4.99606451930195	0.0303481479751617	0.0837332991860143
chr6_AlaTGC_28784992_28785022_5tRNAr	-7.60622490539821	7.40690522376934	0.0410320311307921	0.105090476356079
chr16_ArgCCT_3202963_3202993_3tRNAr	-7.40570123301641	7.05247918410608	0.0623388434335586	0.141192828224515
chr2_AlaAGC_27274144_27274174_3tRNAr	-7.33214838068719	2.7431796509196	0.0947168425210959	0.19228469367995
chr1_ArgTCT_159111401_159111474_total	-7.04043745115709	1.37454314532009	0.143685221306379	0.269188053496828
chr1_LeuCAA_249168149_249168179_3tRNAr	-6.99349700759345	1.67961226831161	0.0922986509761439	0.188693632324254
chr6_MetCAT_28912414_28912444_3tRNAr	-6.7887869216638	3.683038725337	0.15069115124609	0.278022883909959
chr16_LysCTT_3214939_3215011_total	-6.6136100777525	1.13144650625411	0.15069115124609	0.278022883909959
chr8_AlaAGC_67026486_67026516_3tRNAr	-6.26405971989329	7.93692314815668	0.398816130225675	0.566272259759029
chr1_PseudoCAC_16874140_16874170_5tRNAr	-6.09647928056062	2.26225758194027	0.398816130225675	0.566272259759029
chr1_PseudoCAC_17186755_17186785_3tRNAr	-6.09647928056062	2.26225758194027	0.398816130225675	0.566272259759029
chr16_LeuTAG_22207012_22207042_5tRNAr	-6.00477478671087	5.27638401171721	0.398816130225675	0.566272259759029
chr6_SerAGA_27521172_27521202_5tRNAr	-5.68845269267234	2.95814722429424	0.639289678135405	0.784729695911407
chr9_GlnTTG_5095146_5095176_3tRNAr	-5.68845269267234	0.864665147674278	0.639289678135405	0.784729695911407
chr7_CysGCA_149028200_149028230_5tRNAr	-5.4310025882728	1.04110758115975	1	1
chr6_AlaAGC_26705668_26705698_3tRNAr	-5.28271038993618	3.45077933140683	0.509803921568627	0.674920349819317
chr6_AlaAGC_58164608_58164638_5tRNAr	-5.28271038993618	3.45077933140683	0.509803921568627	0.674920349819317
chr6_LysTTT_27543826_27543856_5tRNAr	5.24078299885538	6.74926288940571	1.79378180924436e-22	1.98316404672611e-19
