logFC	logCPM	PValue	FDR
chr16_ArgCCT_3202963_3202993_3tRNAr	-10.2364392425057	7.05247918410608	2.79563523707798e-18	5.65650196302111e-16
chr6_ArgTCT_27529943_27529973_5tRNAr	9.19304866095952	5.4475428282326	2.4022634092474e-12	7.11304336299109e-11
chr6_ArgTCT_27529963_27530049_total	9.19304866095952	5.46174379403717	2.4022634092474e-12	7.11304336299109e-11
chr1_GlnCTG_147737443_147737473_3tRNAr	8.33446111928832	4.9028082051404	1.50713727264673e-08	1.88346593155481e-07
chr1_AsnGTT_161397930_161397960_3tRNAr	8.29610776171236	5.17756627349752	2.09586276977436e-08	2.47026932282143e-07
chr17_AsnGTT_36908097_36908127_3tRNAr	7.89548386905471	4.33850499950626	7.40189314449984e-07	5.22435946361791e-06
chr17_ArgCCT_73030506_73030536_5tRNAr	-7.68563285573701	6.28645336389359	2.60479582948689e-21	6.90979764974262e-19
chr17_ArgCCT_73030063_73030093_3tRNAr	-7.6800111976236	6.37910184750549	2.84588041587423e-21	6.90979764974262e-19
chr17_PseudoTTG_19506567_19506597_5tRNAr	-7.57380836771513	2.10544419911273	5.44526776785322e-06	3.39002824111477e-05
chr1_AsnGTT_17216152_17216182_5tRNAr	7.54921205976786	3.09722127796549	8.28134473027678e-06	5.02677625127801e-05
chr1_AsnGTT_17216172_17216245_total	7.54921205976786	3.30564965061274	8.28134473027678e-06	5.02677625127801e-05
chr1_AspGTC_161501895_161501925_5tRNAr	7.54921205976786	2.41452191562894	8.28134473027678e-06	5.02677625127801e-05
chr6_SerAGA_27509534_27509564_5tRNAr	7.17950696525665	3.83032976485455	7.55367711316002e-05	0.000396765102216584
chr1_GlnCTG_147800917_147800947_5tRNAr	7.00026109566121	4.61003268580663	0.000193974217156757	0.000912731393908153
chr1_GlnCTG_149186105_149186135_5tRNAr	7.00026109566121	4.46972804768121	0.000193974217156757	0.000912731393908153
chr9_AspGTC_77517970_77518000_5tRNAr	-6.9378991478362	5.65493168735647	1.23369427622483e-16	1.24808737611412e-14
chr6_MetCAT_28912414_28912444_3tRNAr	-6.93420535283579	3.683038725337	0.00031520810287973	0.00142253768362822
chr6_IleTAT_26988105_26988135_5tRNAr	6.9015301273148	3.28717645777407	0.00031520810287973	0.00142253768362822
chr7_ArgCCT_139025508_139025538_3tRNAr	-6.8074588702158	7.35708232970902	1.6580551321162e-22	9.87742911531778e-20
chr1_AsnGTT_16847143_16847173_3tRNAr	6.7955428720064	2.61941771632222	0.000517264579084685	0.00214320545736795
