logFC	logCPM	PValue	FDR
chr1_Pseudo???_7990339_7990408_total	14.2215868811551	6.77084013603605	1.32544550409106e-29	2.51420444057273e-28
chr1_Pseudo???_7990398_7990428_3tRNAr	14.2215868811551	6.77084013603605	1.32544550409106e-29	2.51420444057273e-28
chr1_PseudoTGG_238105842_238105872_5tRNAr	12.997873137803	7.42751128975799	5.69357160787937e-22	6.06315432628558e-21
chr17_ArgCCT_73030588_73030618_3tRNAr	12.5805944645348	5.45585269586772	3.22366543876474e-19	2.44595615166274e-18
chr2_PseudoTTG_131029972_131030002_3tRNAr	12.1960025786805	6.92073657163088	3.28265922695121e-17	2.00258708619034e-16
chr1_AsnGTT_149326252_149326282_5tRNAr	-12.081690085268	6.66402969939549	2.82175405564448e-41	3.00455519010828e-39
chr6_IleAAT_27636342_27636372_5tRNAr	11.9055252065957	5.03409546000858	7.1009163056404e-16	3.62206403153254e-15
chr1_AsnGTT_149711778_149711808_5tRNAr	-11.6088326707399	6.18718661738691	1.03237905688962e-37	6.26654087531999e-36
chr17_PseudoTTG_19506648_19506678_3tRNAr	11.5854280516181	14.1444007442207	1.71918873028014e-63	2.0870951185601e-60
chr1_GlnCTG_147800937_147801008_total	11.5581498412639	4.62833314034178	8.18927510678751e-14	3.46403483611151e-13
chr1_GlnCTG_147800917_147800947_5tRNAr	11.5498133138963	4.61003268580663	8.99125862852721e-14	3.79006526910835e-13
chr8_PseudoTTG_32872707_32872737_3tRNAr	11.5116910744949	5.70131131884944	1.58656923493098e-13	6.64170707312488e-13
chr17_ThrAGT_8042770_8042843_total	11.4944190359994	5.83070015363278	1.92270846476243e-13	7.99372628843011e-13
chr6_ThrCGT_28615984_28616057_total	11.3578340165282	5.94014833809789	4.1419233582537e-13	1.67609831897333e-12
chr6_ValAAC_28703186_28703216_5tRNAr	-11.1732782618271	5.8143063839553	1.94873985567033e-34	7.88590061594595e-33
chrM_LeuTAA_3295_3325_3tRNAr	11.1363288249538	5.43974445939559	6.52766349439788e-12	2.45343141863747e-11
chr19_LysTTT_19852267_19852297_3tRNAr	-10.9463599813539	2.79155299246808	1.35073943042654e-14	5.98466302386065e-14
chr1_AsnGTT_143879812_143879842_5tRNAr	-10.9197509459963	8.06090948023821	9.05674858352129e-52	2.74872319509871e-49
chr1_GlnCTG_145379300_145379330_5tRNAr	-10.5267547688881	6.89628033305836	5.45972720666031e-43	7.67309730471754e-41
chr1_GlnCTG_144839416_144839446_5tRNAr	-10.5240607592002	6.89358636709127	5.68845763941169e-43	7.67309730471754e-41
