logFC	logCPM	PValue	FDR
chr1_GlnCTG_147800917_147800947_5tRNAr	-11.5147413575839	4.61003268580663	7.00918651145267e-12	1.06364405311294e-10
chr6_ArgTCT_27529943_27529973_5tRNAr	-11.4062554199146	5.4475428282326	2.88459962395262e-11	3.57337137089641e-10
chr6_ArgTCT_27529963_27530049_total	-11.4062554199146	5.46174379403717	2.88459962395262e-11	3.57337137089641e-10
chr1_GlnCTG_147737443_147737473_3tRNAr	-11.3604688771868	4.9028082051404	5.07814018848582e-11	5.80787684180705e-10
chr1_GlnCTG_149186105_149186135_5tRNAr	-11.2766701140398	4.46972804768121	5.11896888034065e-11	5.80787684180705e-10
chr17_PseudoTTG_19506567_19506597_5tRNAr	10.7921119493069	2.10544419911273	5.8403035208522e-11	6.50470502230694e-10
chr6_GlnTTG_145503839_145503869_5tRNAr	-10.2747852438289	3.50768111633544	4.81783444417977e-07	2.73310795104404e-06
chr6_SerAGA_27509534_27509564_5tRNAr	-10.151154159179	3.83032976485455	6.00228395704684e-07	3.34255629534627e-06
chr6_IleAAT_26745255_26745328_total	-10.0393635932253	3.48780284471683	1.67257902337637e-06	8.82830841034311e-06
chr14_LysCTT_58706593_58706623_5tRNAr	-10.0100079952333	6.12026606607708	2.06248878115275e-06	1.07002623090574e-05
chr2_PseudoTTC_204229131_204229201_total	-10.0040645104702	3.43366957186048	2.06248878115275e-06	1.07002623090574e-05
chr2_PseudoTTC_204229191_204229221_3tRNAr	-9.99809643894991	3.4295847285658	2.06248878115275e-06	1.07002623090574e-05
chr6_IleAAT_26745318_26745348_3tRNAr	-9.97397416141412	3.40283225127824	2.54728052245273e-06	1.28315292707785e-05
chrX_IleGAT_3756418_3756491_total	-9.9244848142705	3.40391386080971	3.90405287376583e-06	1.91109685030311e-05
chrX_IleGAT_3756481_3756511_3tRNAr	-9.91184259350495	3.39540450404378	4.84488082830374e-06	2.32477680852203e-05
chr15_LysCTT_79152966_79152996_3tRNAr	-9.76493492102399	7.54593969939081	5.70285074984705e-06	2.68343442260245e-05
chr6_AlaCGC_28641613_28641684_total	-9.75080707553113	3.56300895182576	7.19999223810923e-06	3.16695310763211e-05
chr17_AsnGTT_36908097_36908127_3tRNAr	-9.58552056332337	4.33850499950626	3.036156426823e-05	0.000119669024995323
chr6_AlaCGC_28641593_28641623_5tRNAr	-9.45217896701187	3.29432144174903	8.24462174689737e-05	0.000300833361629795
chr6_IleTAT_26988105_26988135_5tRNAr	-9.45217896701187	3.28717645777407	8.24462174689737e-05	0.000300833361629795
